symbol,date,open,close,high,low,volume
TQQQ,2014-12-29,2.04207,2.04614,2.05741,2.036,65082267
TQQQ,2014-12-30,2.02531,2.00404,2.04078,1.99478,129533848
TQQQ,2014-12-31,2.01217,1.94126,2.03694,1.93252,122437833
TQQQ,2015-01-02,1.96953,1.9253,1.99463,1.8956,127823184
TQQQ,2015-01-05,1.89728,1.83884,1.90439,1.82292,132701103
TQQQ,2015-01-06,1.84542,1.7659,1.85608,1.74051,176350582
TQQQ,2015-01-07,1.79944,1.8338,1.84562,1.78731,143661024
TQQQ,2015-01-08,1.8809,1.93824,1.94928,1.87454,151422063
TQQQ,2015-01-09,1.95642,1.89897,1.95852,1.86672,189730824
TQQQ,2015-01-12,1.91223,1.84084,1.91668,1.82565,172707987
TQQQ,2015-01-13,1.89248,1.83921,1.95181,1.79485,208777128
TQQQ,2015-01-14,1.78073,1.81095,1.83538,1.75987,225756985
TQQQ,2015-01-15,1.83163,1.73894,1.8418,1.73127,204815642
TQQQ,2015-01-16,1.73031,1.80089,1.80528,1.72169,148083440
TQQQ,2015-01-20,1.83125,1.84084,1.85417,1.76983,169742915
TQQQ,2015-01-21,1.82359,1.86893,1.89393,1.80568,165348450
TQQQ,2015-01-22,1.89238,1.97288,1.978,1.84242,203055487
TQQQ,2015-01-23,1.97227,1.98603,2.00374,1.9549,165944656
TQQQ,2015-01-26,1.98007,1.9816,1.98999,1.94864,105300968
TQQQ,2015-01-27,1.88732,1.82838,1.88856,1.80568,234119857
TQQQ,2015-01-28,1.91223,1.79692,1.91826,1.79571,214871820
TQQQ,2015-01-29,1.79068,1.84898,1.85793,1.74514,184485916
TQQQ,2015-01-30,1.84256,1.80649,1.88529,1.79811,228139561
TQQQ,2015-02-02,1.81622,1.85407,1.85664,1.73272,207608203
TQQQ,2015-02-03,1.86941,1.90439,1.90887,1.83643,190655438
TQQQ,2015-02-04,1.88053,1.8993,1.93786,1.86893,130298807
TQQQ,2015-02-05,1.91283,1.94989,1.95239,1.90112,104909158
TQQQ,2015-02-06,1.95884,1.91429,1.97107,1.89297,129187614
TQQQ,2015-02-09,1.8913,1.89322,1.92147,1.88146,100161932
TQQQ,2015-02-10,1.92803,1.9839,1.99109,1.91751,124657732
TQQQ,2015-02-11,1.9906,2.00613,2.0184,1.97883,127337550
TQQQ,2015-02-12,2.04231,2.07637,2.0772,2.03536,160075098
